c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:375 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:378 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:382 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:385 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:389 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:392 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:396 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:399 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:403 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:406 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:410 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:413 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:417 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:420 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:424 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:427 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:431 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:434 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:438 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:441 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:445 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:448 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:452 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:455 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:459 ppuctrl: 00, ppumask: 00, nmi: 1
c014 2c A:00 X:00 Y:00 P:26 SP:ff CYC:462 ppuctrl: 00, ppumask: 00, nmi: 1
c017 10 A:00 X:00 Y:00 P:26 SP:ff CYC:466 ppuctrl: 00, ppumask: 00, nmi: 1
