,ADDRLOSRC,ADDRHISRC,R/W,WMEMSRC,ALU1SRC,ALU2SRC,ALU2INV,ALUCINSRC,ALUOP,SPSRC,PCLOSRC,PCHISRC,Status,INCPC,OPCODECTRL,STARTFETCH,STARTDECODE,CSKIP,Stop uCode
,,ALUOUT,W,instr_store,,,,,,,,,,0,0,1,,,1
ABSID,PCLO,PCHI,R,,RMEM,0,0,1,+,,,,,1,0,,,,
,RMEMBUFFER,RMEM,R,,,,,,,,,,,0,0,,,,
,ALUOUT,,R,,,,,,,,RMEM,,,0,0,1,,,
,,RMEM,,,,,,,,,,RMEM,,0,0,,,,1
Reset,PCLO,PCHI,R,,,,,,,,,,,0,0,,,,
,,,R,,,,,,,,,,,0,0,,,,
,SP,1,R,PCHI,SP,0,1,0,+,,,,,0,0,,,,
,,,R,PCLO,ALUOUT,0,1,0,+,ALUOUT,,,,0,0,,,,
,,,R,status_bc,ALUOUT,0,1,0,+,ALUOUT,,,,0,0,,,,
,FC,FF,R,,,,,,,ALUOUT,,,,0,0,,,,
,FD,FF,R,,,,,,,,RMEM,,,0,0,1,,,
,,,,,,,,,,,,RMEM,,0,0,,,,1
